Gene	weighted_cS2G_score	phenotype	locusname
UGT1A6	0.981	dbilirubin	annotated_credset_18.1.txt
UGT1A7	1.655	dbilirubin	annotated_credset_18.1.txt
UGT1A1	3.0	dbilirubin	annotated_credset_18.1.txt
COX15	0.154827	dbilirubin	annotated_credset_84.1.txt
DNMBP-AS1	0.151984	dbilirubin	annotated_credset_84.1.txt
DNMBP	0.484217	dbilirubin	annotated_credset_84.1.txt
BLOC1S2	1.542625	dbilirubin	annotated_credset_85.1.txt
DNMBP-AS1	0.3054369999999999	dbilirubin	annotated_credset_85.1.txt
DNMBP	0.935465	dbilirubin	annotated_credset_85.1.txt
UVRAG	0.112985	dbilirubin	annotated_credset_91.1.txt
INSC	0.194886	ebmd	annotated_credset_1007.1.txt
SOX6	0.202275	ebmd	annotated_credset_1010.1.txt
SOX6	1.245462	ebmd	annotated_credset_1012.1.txt
SOX6	0.190734	ebmd	annotated_credset_1016.1.txt
C11orf24	0.414821	ebmd	annotated_credset_1098.1.txt
UNC93B1	1.0	ebmd	annotated_credset_1098.1.txt
LRP5	1.0	ebmd	annotated_credset_1099.1.txt
LRP5	0.450881	ebmd	annotated_credset_1100.1.txt
CARNS1	0.09117076	ebmd	annotated_credset_1101.1.txt
TBX10	0.19653	ebmd	annotated_credset_1102.1.txt
PPP6R3	0.584070045	ebmd	annotated_credset_1102.1.txt
MTL5	0.618606	ebmd	annotated_credset_1102.1.txt
TPCN2	0.407971	ebmd	annotated_credset_1104.1.txt
MYEOV	0.096931	ebmd	annotated_credset_1104.1.txt
MRGPRF	0.113579	ebmd	annotated_credset_1104.1.txt
MRGPRD	0.10414369	ebmd	annotated_credset_1105.1.txt
CADM1	0.121912	ebmd	annotated_credset_1127.1.txt
LINC00900	0.233716	ebmd	annotated_credset_1129.1.txt
CADM1	0.5085660000000001	ebmd	annotated_credset_1129.1.txt
VDR	0.140761	ebmd	annotated_credset_1171.1.txt
RAPGEF3	0.2702254	ebmd	annotated_credset_1171.1.txt
COL2A1	0.194873	ebmd	annotated_credset_1172.1.txt
LALBA	0.929276	ebmd	annotated_credset_1173.1.txt
H1FNT	0.304233	ebmd	annotated_credset_1174.1.txt
ZNF641	0.31957497	ebmd	annotated_credset_1174.1.txt
WNT1	0.2350436329999999	ebmd	annotated_credset_1180.1.txt
LMBR1L	0.48156423	ebmd	annotated_credset_1182.1.txt
KCNH3	0.999589	ebmd	annotated_credset_1182.1.txt
FMNL3	0.159532	ebmd	annotated_credset_1184.1.txt
SMARCD1	0.113397509	ebmd	annotated_credset_1185.1.txt
LARP4	0.168389	ebmd	annotated_credset_1186.1.txt
OR7E47P	0.115891	ebmd	annotated_credset_1188.1.txt
GREM2	0.2575429999999999	ebmd	annotated_credset_125.1.txt
USP50	0.114098	ebmd	annotated_credset_1334.1.txt
SPPL2A	0.962195	ebmd	annotated_credset_1335.1.txt
AP4E1	0.24816	ebmd	annotated_credset_1335.1.txt
SPPL2A	0.0985632	ebmd	annotated_credset_1336.1.txt
GLDN	0.343975	ebmd	annotated_credset_1338.1.txt
GLDN	0.84526934	ebmd	annotated_credset_1339.1.txt
CYP19A1	2.104236	ebmd	annotated_credset_1339.1.txt
LEO1	0.874935	ebmd	annotated_credset_1341.1.txt
SMAD3	0.260569	ebmd	annotated_credset_1348.1.txt
SMAD6	1.6905558	ebmd	annotated_credset_1348.1.txt
SMAD3	0.92266	ebmd	annotated_credset_1350.1.txt
SMAD3	0.746702	ebmd	annotated_credset_1351.1.txt
MPDU1	0.285936156	ebmd	annotated_credset_1451.1.txt
SLC2A4	0.396503	ebmd	annotated_credset_1451.1.txt
TP53	0.488753607	ebmd	annotated_credset_1451.1.txt
CHRNB1	0.489414778	ebmd	annotated_credset_1451.1.txt
SHBG	0.63830151	ebmd	annotated_credset_1451.1.txt
EIF4A1	0.35498925	ebmd	annotated_credset_1451.1.txt
CHD3	0.091364121	ebmd	annotated_credset_1454.1.txt
COASY	0.983923	ebmd	annotated_credset_1477.1.txt
MEOX1	0.121179	ebmd	annotated_credset_1478.1.txt
MPP2	1.187758896	ebmd	annotated_credset_1479.1.txt
FAM215A	0.46912001	ebmd	annotated_credset_1479.1.txt
LINC00910	0.526462	ebmd	annotated_credset_1479.1.txt
UBTF	0.222856	ebmd	annotated_credset_1479.1.txt
SOST	0.887813	ebmd	annotated_credset_1479.1.txt
MPP2	0.999057	ebmd	annotated_credset_1482.1.txt
PPY	0.479225	ebmd	annotated_credset_1483.1.txt
ASB16	0.882	ebmd	annotated_credset_1483.1.txt
UBTF	1.0287658439999998	ebmd	annotated_credset_1484.1.txt
NMT1	0.146872	ebmd	annotated_credset_1486.1.txt
PLCD3	0.983253	ebmd	annotated_credset_1486.1.txt
ARHGAP27	0.109046203	ebmd	annotated_credset_1487.1.txt
GFAP	0.103607	ebmd	annotated_credset_1487.1.txt
DCAKD	0.097554024	ebmd	annotated_credset_1487.1.txt
LINC00310	0.977304498	ebmd	annotated_credset_1659.1.txt
MRPS6	0.44492049	ebmd	annotated_credset_1659.1.txt
LINC00310	0.436207	ebmd	annotated_credset_1660.1.txt
MRPS6	0.796842102	ebmd	annotated_credset_1660.1.txt
AFF1	0.747647	ebmd	annotated_credset_387.1.txt
MAPK10	0.649224	ebmd	annotated_credset_388.1.txt
MEPE	0.260001	ebmd	annotated_credset_390.1.txt
PPM1K	0.0624831355	ebmd	annotated_credset_391.1.txt
SPP1	0.271811	ebmd	annotated_credset_391.1.txt
ABCG2	0.538893651	ebmd	annotated_credset_391.1.txt
MEPE	0.327543	ebmd	annotated_credset_391.1.txt
EEF1A1	0.09302232	ebmd	annotated_credset_599.1.txt
CD109	1.66358	ebmd	annotated_credset_599.1.txt
FAM3C	0.0771658	ebmd	annotated_credset_758.1.txt
CPED1	0.104528	ebmd	annotated_credset_758.1.txt
FAM3C	1.011637	ebmd	annotated_credset_759.1.txt
WNT16	1.0358807	ebmd	annotated_credset_760.1.txt
TSPAN12	0.61947149	ebmd	annotated_credset_760.1.txt
PTPRZ1	0.400681	ebmd	annotated_credset_762.1.txt
PTPRZ1	0.263924	ebmd	annotated_credset_763.1.txt
CSF1R	0.207394	height	annotated_credset_1113.1.txt
HMGXB3	0.0911883419999999	height	annotated_credset_1113.1.txt
CAMK2A	0.114064	height	annotated_credset_1114.1.txt
SLC6A7	0.125979	height	annotated_credset_1114.1.txt
SYNPO	0.3011899999999999	height	annotated_credset_1114.1.txt
RNF130	0.37339	height	annotated_credset_1151.1.txt
GFPT2	0.5215072999999999	height	annotated_credset_1152.1.txt
TRIM41	0.35035265	height	annotated_credset_1154.1.txt
TRIM7	0.172376	height	annotated_credset_1154.1.txt
CUTA	0.83974	height	annotated_credset_1216.1.txt
GRM4	0.2666816	height	annotated_credset_1217.1.txt
GRM4	0.0659267	height	annotated_credset_1218.1.txt
HMGA1	1.0	height	annotated_credset_1219.1.txt
C6orf1	0.3524188199999999	height	annotated_credset_1219.1.txt
HMGA1	0.999917	height	annotated_credset_1221.1.txt
GRM4	0.102931	height	annotated_credset_1221.1.txt
C6orf106	0.23242842	height	annotated_credset_1221.1.txt
C6orf1	0.948288642	height	annotated_credset_1222.1.txt
ANKS1A	0.112273	height	annotated_credset_1223.1.txt
UHRF1BP1	0.390725	height	annotated_credset_1223.1.txt
RPS10	1.0	height	annotated_credset_1223.1.txt
NUDT3	1.737976408	height	annotated_credset_1223.1.txt
SPDEF	2.76769812	height	annotated_credset_1224.1.txt
NUDT3	1.0	height	annotated_credset_1224.1.txt
ANKS1A	0.561329	height	annotated_credset_1225.1.txt
UHRF1BP1	0.144797	height	annotated_credset_1225.1.txt
RPS10	0.653714235	height	annotated_credset_1225.1.txt
TEAD3	0.307803	height	annotated_credset_1225.1.txt
GRM4	0.170953035	height	annotated_credset_1225.1.txt
TAF11	0.775307528	height	annotated_credset_1226.1.txt
ZNF76	0.40228	height	annotated_credset_1226.1.txt
FANCE	0.16584862	height	annotated_credset_1226.1.txt
DEF6	0.0810808	height	annotated_credset_1226.1.txt
CLPSL1	0.798	height	annotated_credset_1226.1.txt
TCP11	0.824106	height	annotated_credset_1227.1.txt
PPARD	0.995828	height	annotated_credset_1227.1.txt
GRM4	0.655	height	annotated_credset_1227.1.txt
SCUBE3	1.0	height	annotated_credset_1227.1.txt
PPARD	0.600824	height	annotated_credset_1229.1.txt
FKBP5	0.897648	height	annotated_credset_1230.1.txt
TEAD3	0.317982	height	annotated_credset_1230.1.txt
CLPSL2	0.683983	height	annotated_credset_1230.1.txt
FANCE	0.686075	height	annotated_credset_1230.1.txt
TULP1	1.1131527289999998	height	annotated_credset_1230.1.txt
RPL10A	0.7122918599999999	height	annotated_credset_1230.1.txt
TEAD3	0.073513925	height	annotated_credset_1231.1.txt
LHFPL5	0.452358	height	annotated_credset_1231.1.txt
FKBP5	1.294913702	height	annotated_credset_1231.1.txt
SLC26A8	0.123461	height	annotated_credset_1232.1.txt
FKBP5	1.234956	height	annotated_credset_1232.1.txt
FKBP5	0.798	height	annotated_credset_1234.1.txt
SRPK1	0.238610778	height	annotated_credset_1235.1.txt
PNPLA1	0.800677	height	annotated_credset_1235.1.txt
CDKN1A	0.6713299	height	annotated_credset_1235.1.txt
MAPK13	0.288535282	height	annotated_credset_1235.1.txt
AMD1	0.793985	height	annotated_credset_1312.1.txt
LONRF1	0.20537	height	annotated_credset_1578.1.txt
DEFB136	0.107332	height	annotated_credset_1578.1.txt
DLC1	0.293251874	height	annotated_credset_1579.1.txt
DLC1	0.408348892	height	annotated_credset_1581.1.txt
DLC1	0.921881062	height	annotated_credset_1582.1.txt
SLC25A37	0.515968	height	annotated_credset_1589.1.txt
LOXL2	0.269874056	height	annotated_credset_1589.1.txt
R3HCC1	0.0681497972	height	annotated_credset_1589.1.txt
R3HCC1	0.53541	height	annotated_credset_1590.1.txt
STC1	0.107803	height	annotated_credset_1594.1.txt
LYN	1.0	height	annotated_credset_1619.1.txt
LYN	1.197963	height	annotated_credset_1620.1.txt
PLAG1	0.655	height	annotated_credset_1620.1.txt
LYN	0.70076	height	annotated_credset_1621.1.txt
CHCHD7	0.707848	height	annotated_credset_1622.1.txt
CHCHD7	0.5	height	annotated_credset_1623.1.txt
PLAG1	1.134328	height	annotated_credset_1623.1.txt
LINC00968	0.0969915	height	annotated_credset_1625.1.txt
PENK	0.127178	height	annotated_credset_1626.1.txt
LINC00968	0.269669	height	annotated_credset_1626.1.txt
IMPAD1	0.232209	height	annotated_credset_1627.1.txt
CRISPLD1	2.3899127	height	annotated_credset_1644.1.txt
CASC9	0.59965	height	annotated_credset_1645.1.txt
CRISPLD1	0.24185	height	annotated_credset_1645.1.txt
CASC9	0.0981642	height	annotated_credset_1646.1.txt
OTUD7B	0.783181836	height	annotated_credset_168.1.txt
ADAMTSL4	0.24358551	height	annotated_credset_169.1.txt
KHDRBS3	0.995909	height	annotated_credset_1694.1.txt
ZFAT	0.16020514	height	annotated_credset_1694.1.txt
ZFAT-AS1	0.924855	height	annotated_credset_1695.1.txt
ZFAT	0.42341	height	annotated_credset_1696.1.txt
ZFAT-AS1	0.215576	height	annotated_credset_1696.1.txt
ZFAT	1.05295883	height	annotated_credset_1697.1.txt
ZFAT-AS1	0.72954	height	annotated_credset_1697.1.txt
ZFAT	0.331214	height	annotated_credset_1698.1.txt
TNFAIP8L2	0.079351293	height	annotated_credset_171.1.txt
ANP32E	0.122284	height	annotated_credset_171.1.txt
BOLA1	0.6779977540000001	height	annotated_credset_171.1.txt
ECM1	0.140922588	height	annotated_credset_172.1.txt
ANXA9	0.5851107879999999	height	annotated_credset_172.1.txt
CTSS	0.4547070120000001	height	annotated_credset_172.1.txt
ADAMTSL4	0.999732	height	annotated_credset_172.1.txt
ANXA9	0.14158	height	annotated_credset_173.1.txt
LINC00961	0.178972	height	annotated_credset_1732.1.txt
RGP1	0.117395074	height	annotated_credset_1732.1.txt
TPM2	0.102348554	height	annotated_credset_1732.1.txt
GBA2	0.089557146	height	annotated_credset_1732.1.txt
NPR2	0.90348	height	annotated_credset_1733.1.txt
RGP1	1.3110554200000002	height	annotated_credset_1733.1.txt
TLN1	0.315937	height	annotated_credset_1733.1.txt
CCDC107	0.11494	height	annotated_credset_1733.1.txt
C1orf54	0.405342	height	annotated_credset_174.1.txt
SCNM1	0.544532525	height	annotated_credset_175.1.txt
ECM1	0.266288	height	annotated_credset_175.1.txt
NFIL3	0.588724	height	annotated_credset_1756.1.txt
AUH	0.0822795	height	annotated_credset_1757.1.txt
ROR2	0.409314	height	annotated_credset_1757.1.txt
ANKRD19P	0.244111	height	annotated_credset_1760.1.txt
BICD2	0.0857322522	height	annotated_credset_1760.1.txt
ZNF484	1.0	height	annotated_credset_1760.1.txt
WNK2	0.2533721249999999	height	annotated_credset_1761.1.txt
SUSD3	0.062644069	height	annotated_credset_1761.1.txt
FGD3	0.29468825	height	annotated_credset_1762.1.txt
NINJ1	0.501491004	height	annotated_credset_1762.1.txt
PHF2	1.200748	height	annotated_credset_1763.1.txt
MIRLET7DHG	1.0	height	annotated_credset_1766.1.txt
PTPDC1	0.139504	height	annotated_credset_1768.1.txt
FBP2	0.107182	height	annotated_credset_1770.1.txt
C9orf3	0.3331138	height	annotated_credset_1771.1.txt
HIATL1	0.0983883	height	annotated_credset_1771.1.txt
FBP2	0.6518140800000001	height	annotated_credset_1771.1.txt
C9orf3	0.8788530000000001	height	annotated_credset_1772.1.txt
FBP1	0.2734408195	height	annotated_credset_1772.1.txt
C9orf3	0.4415059999999999	height	annotated_credset_1773.1.txt
PTCH1	1.941238	height	annotated_credset_1774.1.txt
ERCC6L2	0.64086772	height	annotated_credset_1774.1.txt
PTCH1	4.08173078	height	annotated_credset_1775.1.txt
LINC00092	1.0	height	annotated_credset_1776.1.txt
FANCC	0.113048	height	annotated_credset_1776.1.txt
PTCH1	0.521874	height	annotated_credset_1778.1.txt
FANCC	0.603914	height	annotated_credset_1778.1.txt
PTCH1	0.914562	height	annotated_credset_1779.1.txt
RIIAD1	0.271077	height	annotated_credset_178.1.txt
RORC	0.575219	height	annotated_credset_178.1.txt
PTCH1	1.0	height	annotated_credset_1780.1.txt
LINC00092	0.29838	height	annotated_credset_1781.1.txt
ZNF367	0.087668279	height	annotated_credset_1782.1.txt
ERCC6L2	0.089488602	height	annotated_credset_1782.1.txt
LINC00092	0.155915501	height	annotated_credset_1782.1.txt
HABP4	0.936114	height	annotated_credset_1783.1.txt
NCBP1	0.122798936	height	annotated_credset_1787.1.txt
CHRNB2	0.850818	height	annotated_credset_181.1.txt
COL27A1	0.2597635517	height	annotated_credset_1815.1.txt
BSPRY	0.2534505757999999	height	annotated_credset_1815.1.txt
TNC	0.215972	height	annotated_credset_1815.1.txt
AKNA	0.07678696	height	annotated_credset_1816.1.txt
ALAD	0.111725315	height	annotated_credset_1816.1.txt
COL27A1	1.731842	height	annotated_credset_1816.1.txt
BSPRY	0.2772166009	height	annotated_credset_1816.1.txt
TNC	0.6973834	height	annotated_credset_1817.1.txt
DEC1	0.0793528008	height	annotated_credset_1817.1.txt
UBE2Q1	0.999993	height	annotated_credset_182.1.txt
KCNN3	0.461325	height	annotated_credset_182.1.txt
PAPPA	0.998518	height	annotated_credset_1822.1.txt
PAPPA	0.115027	height	annotated_credset_1823.1.txt
ASTN2	0.442998	height	annotated_credset_1826.1.txt
CNTRL	0.15877462	height	annotated_credset_1829.1.txt
ZBTB7B	0.455776	height	annotated_credset_183.1.txt
DAB2IP	0.835950216	height	annotated_credset_1831.1.txt
LMX1B	0.475243454	height	annotated_credset_1842.1.txt
MUC1	0.786583	height	annotated_credset_185.1.txt
EFNA4	0.183150423	height	annotated_credset_186.1.txt
RRNAD1	0.32041	height	annotated_credset_186.1.txt
GON4L	0.6313137600000001	height	annotated_credset_186.1.txt
SEMA4A	0.107943864	height	annotated_credset_189.1.txt
MEF2D	0.11779	height	annotated_credset_190.1.txt
TET1	0.523426	height	annotated_credset_1917.1.txt
TET1	0.793579	height	annotated_credset_1918.1.txt
TET1	0.0927317	height	annotated_credset_1919.1.txt
TACR2	0.124537	height	annotated_credset_1919.1.txt
LRRC71	0.331289	height	annotated_credset_192.1.txt
SRGN	0.116523048	height	annotated_credset_1920.1.txt
STOX1	1.002672	height	annotated_credset_1920.1.txt
HKDC1	0.103598	height	annotated_credset_1920.1.txt
NEUROG3	0.198784	height	annotated_credset_1922.1.txt
TSPAN15	0.1828817999999999	height	annotated_credset_1922.1.txt
C10orf35	0.0729715	height	annotated_credset_1922.1.txt
DDR2	0.44372529	height	annotated_credset_194.1.txt
TCTN3	0.351992	height	annotated_credset_1952.1.txt
HTRA1	0.840756	height	annotated_credset_1984.1.txt
ARMS2	0.435843	height	annotated_credset_1984.1.txt
BTBD16	0.0859724208	height	annotated_credset_1984.1.txt
PLEKHA1	0.4822048	height	annotated_credset_1984.1.txt
COPB1	0.278733	height	annotated_credset_2018.1.txt
PSMA1	0.1530708479999999	height	annotated_credset_2018.1.txt
PDE3B	0.54689225	height	annotated_credset_2019.1.txt
GYLTL1B	0.205277	height	annotated_credset_2039.1.txt
PHF21A	0.371845	height	annotated_credset_2040.1.txt
MDK	0.781001	height	annotated_credset_2040.1.txt
ATG13	0.985771	height	annotated_credset_2041.1.txt
LRP4-AS1	0.38440899	height	annotated_credset_2043.1.txt
PSMC3	0.237996	height	annotated_credset_2043.1.txt
SLC39A13	0.812257	height	annotated_credset_2046.1.txt
DDB2	0.237798813	height	annotated_credset_2046.1.txt
PSMC3	0.596847	height	annotated_credset_2046.1.txt
SPI1	0.16091912	height	annotated_credset_2046.1.txt
NR1H3	0.175126	height	annotated_credset_2046.1.txt
FOLH1	0.164808	height	annotated_credset_2057.1.txt
FOLH1	1.283991495	height	annotated_credset_2059.1.txt
MPEG1	0.131802	height	annotated_credset_2089.1.txt
FAM111A	0.105813	height	annotated_credset_2089.1.txt
MS4A1	0.148724	height	annotated_credset_2095.1.txt
OR10V2P	0.830867	height	annotated_credset_2095.1.txt
KCNK7	1.623083824	height	annotated_credset_2101.1.txt
KCNK7	0.991569	height	annotated_credset_2102.1.txt
CST6	0.242	height	annotated_credset_2104.1.txt
CNIH2	0.16234915	height	annotated_credset_2106.1.txt
TMEM151A	0.20596752	height	annotated_credset_2106.1.txt
DPP3	0.950819	height	annotated_credset_2109.1.txt
ADRBK1	0.281034	height	annotated_credset_2111.1.txt
LRP5	0.729467	height	annotated_credset_2119.1.txt
LRP5	0.117916	height	annotated_credset_2120.1.txt
GAL	0.119725	height	annotated_credset_2122.1.txt
MRGPRF	0.57520397	height	annotated_credset_2123.1.txt
TPCN2	0.290212	height	annotated_credset_2123.1.txt
CPT1A	0.999883	height	annotated_credset_2123.1.txt
MYEOV	0.1161708	height	annotated_credset_2123.1.txt
MYEOV	0.4846066	height	annotated_credset_2124.1.txt
MRGPRF	0.101224	height	annotated_credset_2124.1.txt
CCND1	0.122932	height	annotated_credset_2124.1.txt
FADD	0.997895	height	annotated_credset_2125.1.txt
FGF4	0.196656545	height	annotated_credset_2125.1.txt
MYEOV	0.0997596	height	annotated_credset_2125.1.txt
MYEOV	0.761955	height	annotated_credset_2126.1.txt
ORAOV1	0.827677378	height	annotated_credset_2126.1.txt
CCND1	1.539543	height	annotated_credset_2126.1.txt
MYEOV	0.8354250000000001	height	annotated_credset_2127.1.txt
ANO1	0.0843451	height	annotated_credset_2129.1.txt
FADD	0.093403	height	annotated_credset_2130.1.txt
ANO1	0.0903571	height	annotated_credset_2130.1.txt
PPFIA1	0.164985	height	annotated_credset_2131.1.txt
MYEOV	0.229091	height	annotated_credset_2131.1.txt
ANO1	0.3362928	height	annotated_credset_2131.1.txt
CHRDL2	0.114284989	height	annotated_credset_2135.1.txt
CHRDL2	0.522111	height	annotated_credset_2137.1.txt
SLCO2B1	0.374055	height	annotated_credset_2139.1.txt
RNF169	0.798	height	annotated_credset_2139.1.txt
KLHL35	0.806985	height	annotated_credset_2139.1.txt
SERPINH1	1.98345	height	annotated_credset_2140.1.txt
GDPD5	0.24142008	height	annotated_credset_2140.1.txt
SERPINH1	0.276331023	height	annotated_credset_2141.1.txt
TNR	0.111625	height	annotated_credset_215.1.txt
SLC6A12	0.902878	height	annotated_credset_2177.1.txt
B4GALNT3	0.922049	height	annotated_credset_2177.1.txt
NINJ2	0.22908	height	annotated_credset_2178.1.txt
B4GALNT3	1.172236946	height	annotated_credset_2178.1.txt
SLC6A13	0.0963681	height	annotated_credset_2178.1.txt
NINJ2	0.489608	height	annotated_credset_2179.1.txt
B4GALNT3	1.723272	height	annotated_credset_2179.1.txt
ERC1	0.0811107	height	annotated_credset_2181.1.txt
PAPPA2	0.912873384	height	annotated_credset_219.1.txt
PAPPA2	1.30613456	height	annotated_credset_220.1.txt
PAPPA2	1.725499033	height	annotated_credset_222.1.txt
BRINP2	0.268665	height	annotated_credset_223.1.txt
SEC16B	0.5459160000000001	height	annotated_credset_224.1.txt
DGKA	0.217288557	height	annotated_credset_2254.1.txt
IKZF4	0.396079	height	annotated_credset_2254.1.txt
BAZ2A	0.461038	height	annotated_credset_2255.1.txt
CS	0.3627608639999999	height	annotated_credset_2256.1.txt
PTGES3	0.93632	height	annotated_credset_2258.1.txt
LRP1	0.941675	height	annotated_credset_2258.1.txt
PIP4K2C	0.185789	height	annotated_credset_2259.1.txt
DCTN2	0.58227174	height	annotated_credset_2259.1.txt
ARHGEF25	0.229187	height	annotated_credset_2260.1.txt
UGGT2	0.188585	height	annotated_credset_2426.1.txt
PAPLN	0.584754	height	annotated_credset_2491.1.txt
ELMSAN1	0.964074	height	annotated_credset_2494.1.txt
LIN52	0.81917934	height	annotated_credset_2495.1.txt
NPC2	0.6110780760000001	height	annotated_credset_2496.1.txt
LTBP2	0.262175	height	annotated_credset_2496.1.txt
LTBP2	0.19638345	height	annotated_credset_2498.1.txt
SYNDIG1L	0.695193484	height	annotated_credset_2498.1.txt
LTBP2	0.411601	height	annotated_credset_2499.1.txt
FOS	0.33500238	height	annotated_credset_2500.1.txt
TMED10	0.165528	height	annotated_credset_2500.1.txt
MLH3	0.521015	height	annotated_credset_2500.1.txt
TGFB3	0.243274	height	annotated_credset_2501.1.txt
TGFB3	0.103353	height	annotated_credset_2502.1.txt
TC2N	0.078066175	height	annotated_credset_2510.1.txt
TRIP11	0.326371	height	annotated_credset_2511.1.txt
CCDC88C	0.0992263	height	annotated_credset_2511.1.txt
FBLN5	0.33522	height	annotated_credset_2512.1.txt
TRIP11	0.234462	height	annotated_credset_2512.1.txt
CPSF2	0.395457	height	annotated_credset_2513.1.txt
SLC24A4	0.162105	height	annotated_credset_2513.1.txt
MEG3	0.161051	height	annotated_credset_2522.1.txt
DLK1	0.109554	height	annotated_credset_2522.1.txt
RTL1	0.349512	height	annotated_credset_2524.1.txt
MEG3	0.215843544	height	annotated_credset_2524.1.txt
MEG9	0.0819787	height	annotated_credset_2524.1.txt
TRAF5	0.25849575	height	annotated_credset_254.1.txt
LPGAT1	0.117168	height	annotated_credset_255.1.txt
LPGAT1	0.600888	height	annotated_credset_256.1.txt
PPP2R5A	0.209487	height	annotated_credset_256.1.txt
TRPM7	0.90564	height	annotated_credset_2561.1.txt
TNFAIP8L3	0.129351	height	annotated_credset_2565.1.txt
GLDN	0.304489	height	annotated_credset_2566.1.txt
GLDN	0.7952534039999999	height	annotated_credset_2567.1.txt
CYP19A1	0.170932	height	annotated_credset_2567.1.txt
GLDN	0.999969	height	annotated_credset_2568.1.txt
CYP19A1	0.471513	height	annotated_credset_2568.1.txt
USP3	0.315257892	height	annotated_credset_2577.1.txt
DAPK2	0.191654965	height	annotated_credset_2578.1.txt
LARP6	0.231509	height	annotated_credset_2595.1.txt
GRAMD2	0.151711	height	annotated_credset_2597.1.txt
PARP6	0.159777	height	annotated_credset_2597.1.txt
ADPGK	0.45069846	height	annotated_credset_2603.1.txt
NEO1	0.132113	height	annotated_credset_2603.1.txt
PML	0.363222	height	annotated_credset_2609.1.txt
PML	0.275762	height	annotated_credset_2611.1.txt
STOML1	0.194478	height	annotated_credset_2611.1.txt
CYP1A2	0.991674	height	annotated_credset_2612.1.txt
PTPN9	0.729262	height	annotated_credset_2617.1.txt
MAN2C1	0.228475	height	annotated_credset_2619.1.txt
PSTPIP1	0.402296	height	annotated_credset_2623.1.txt
DET1	0.545984	height	annotated_credset_2649.1.txt
ISG20	0.25837911	height	annotated_credset_2649.1.txt
ACAN	0.857486824	height	annotated_credset_2649.1.txt
DET1	0.2337955099999999	height	annotated_credset_2650.1.txt
MFGE8	0.161638	height	annotated_credset_2650.1.txt
RHCG	0.869413	height	annotated_credset_2651.1.txt
HAPLN3	0.3094709109999999	height	annotated_credset_2651.1.txt
MFGE8	0.665954	height	annotated_credset_2651.1.txt
ACAN	0.703174	height	annotated_credset_2651.1.txt
ACAN	0.365778	height	annotated_credset_2652.1.txt
TICRR	0.786852	height	annotated_credset_2654.1.txt
ZNF710	0.991516	height	annotated_credset_2656.1.txt
FES	0.364294	height	annotated_credset_2658.1.txt
FURIN	0.619884063	height	annotated_credset_2658.1.txt
IGF1R	0.965296	height	annotated_credset_2665.1.txt
IGF1R	2.0	height	annotated_credset_2666.1.txt
PGPEP1L	1.4584401000000002	height	annotated_credset_2667.1.txt
